name,domain,solved,time-seconds
p01.pddl,scanalyzer-sat11-strips,False,300.3721
p02.pddl,scanalyzer-sat11-strips,True,3.0168
p03.pddl,scanalyzer-sat11-strips,True,0.4110
p04.pddl,scanalyzer-sat11-strips,True,0.8204
p05.pddl,scanalyzer-sat11-strips,True,6.6462
p06.pddl,scanalyzer-sat11-strips,False,300.3858
p07.pddl,scanalyzer-sat11-strips,True,18.9670
p08.pddl,scanalyzer-sat11-strips,False,300.3668
p09.pddl,scanalyzer-sat11-strips,True,1.7175
p10.pddl,scanalyzer-sat11-strips,True,4.0070
p11.pddl,scanalyzer-sat11-strips,True,3.9322
p12.pddl,scanalyzer-sat11-strips,True,1.8351
p13.pddl,scanalyzer-sat11-strips,True,0.8440
p14.pddl,scanalyzer-sat11-strips,True,8.5961
p15.pddl,scanalyzer-sat11-strips,True,8.2286
p16.pddl,scanalyzer-sat11-strips,True,18.3163
p17.pddl,scanalyzer-sat11-strips,True,17.0283
p18.pddl,scanalyzer-sat11-strips,False,301.5631
p19.pddl,scanalyzer-sat11-strips,False,301.8900
p20.pddl,scanalyzer-sat11-strips,False,301.5900
p01.pddl,folding-sat23-strips,False,303.8065
p02.pddl,folding-sat23-strips,False,110.5876
p03.pddl,folding-sat23-strips,False,87.4856
p04.pddl,folding-sat23-strips,False,305.7547
p05.pddl,folding-sat23-strips,False,65.0438
p06.pddl,folding-sat23-strips,False,108.2013
p07.pddl,folding-sat23-strips,False,85.7479
p08.pddl,folding-sat23-strips,False,59.6024
p09.pddl,folding-sat23-strips,False,82.8006
p10.pddl,folding-sat23-strips,False,72.9127
p11.pddl,folding-sat23-strips,False,59.6307
p12.pddl,folding-sat23-strips,False,51.9918
p13.pddl,folding-sat23-strips,False,70.7790
p14.pddl,folding-sat23-strips,False,96.8488
p15.pddl,folding-sat23-strips,False,94.1955
p16.pddl,folding-sat23-strips,False,50.8112
p17.pddl,folding-sat23-strips,False,58.4717
p18.pddl,folding-sat23-strips,False,85.8786
p19.pddl,folding-sat23-strips,False,56.0716
p20.pddl,folding-sat23-strips,False,307.7057
p01.pddl,woodworking-sat11-strips,True,0.7733
p02.pddl,woodworking-sat11-strips,True,1.7262
p03.pddl,woodworking-sat11-strips,False,0.2512
p04.pddl,woodworking-sat11-strips,False,52.9812
p05.pddl,woodworking-sat11-strips,True,17.0523
p06.pddl,woodworking-sat11-strips,False,0.3173
p07.pddl,woodworking-sat11-strips,True,1.0611
p08.pddl,woodworking-sat11-strips,False,0.2818
p09.pddl,woodworking-sat11-strips,False,42.6122
p11.pddl,woodworking-sat11-strips,False,0.3183
p12.pddl,woodworking-sat11-strips,False,157.1424
p13.pddl,woodworking-sat11-strips,True,8.5641
p14.pddl,woodworking-sat11-strips,False,0.3228
p15.pddl,woodworking-sat11-strips,False,0.3900
p16.pddl,woodworking-sat11-strips,False,0.3499
p17.pddl,woodworking-sat11-strips,True,1.5095
p18.pddl,woodworking-sat11-strips,False,91.0926
p19.pddl,woodworking-sat11-strips,True,2.2063
p20.pddl,woodworking-sat11-strips,False,0.2803
p1-11-4-15.pddl,barman-sat14-strips,False,300.1981
p1-11-5-15.pddl,barman-sat14-strips,False,300.1918
p1-11-5-16.pddl,barman-sat14-strips,False,300.1639
p2-10-4-13.pddl,barman-sat14-strips,False,300.1769
p2-11-4-15.pddl,barman-sat14-strips,False,300.2080
p2-11-5-15.pddl,barman-sat14-strips,False,300.1499
p2-11-5-16.pddl,barman-sat14-strips,False,300.1780
p2-11-5-17.pddl,barman-sat14-strips,False,300.2058
p3-10-4-13.pddl,barman-sat14-strips,False,300.0817
p3-11-4-15.pddl,barman-sat14-strips,False,300.1921
p3-11-5-15.pddl,barman-sat14-strips,False,300.1561
p3-11-5-16.pddl,barman-sat14-strips,False,300.1892
p3-11-5-17.pddl,barman-sat14-strips,False,300.2014
p4-11-4-14.pddl,barman-sat14-strips,False,300.2045
p4-11-4-15.pddl,barman-sat14-strips,False,300.1105
p4-11-5-15.pddl,barman-sat14-strips,False,300.1656
p5-10-4-13.pddl,barman-sat14-strips,False,300.1853
p5-11-4-15.pddl,barman-sat14-strips,False,300.1911
p5-11-5-15.pddl,barman-sat14-strips,False,300.1826
p5-11-5-16.pddl,barman-sat14-strips,False,300.2032
p01.pddl,pegsol-sat11-strips,False,7.7231
p02.pddl,pegsol-sat11-strips,False,8.0545
p03.pddl,pegsol-sat11-strips,False,7.9393
p04.pddl,pegsol-sat11-strips,False,7.9070
p05.pddl,pegsol-sat11-strips,True,6.9935
p06.pddl,pegsol-sat11-strips,False,7.9182
p07.pddl,pegsol-sat11-strips,False,8.0793
p08.pddl,pegsol-sat11-strips,False,7.1563
p09.pddl,pegsol-sat11-strips,False,7.9503
p10.pddl,pegsol-sat11-strips,False,8.0782
p11.pddl,pegsol-sat11-strips,False,8.0811
p12.pddl,pegsol-sat11-strips,False,7.7603
p13.pddl,pegsol-sat11-strips,False,7.8319
p14.pddl,pegsol-sat11-strips,False,7.7498
p15.pddl,pegsol-sat11-strips,False,7.4821
p16.pddl,pegsol-sat11-strips,False,8.1102
p17.pddl,pegsol-sat11-strips,False,7.9542
p18.pddl,pegsol-sat11-strips,False,8.0770
p19.pddl,pegsol-sat11-strips,False,8.1694
p20.pddl,pegsol-sat11-strips,False,8.3140
p01.pddl,caldera-sat18-strips,False,0.3389
p02.pddl,caldera-sat18-strips,False,0.3615
p03.pddl,caldera-sat18-strips,False,0.4631
p04.pddl,caldera-sat18-strips,False,0.4750
p05.pddl,caldera-sat18-strips,False,0.3522
p06.pddl,caldera-sat18-strips,False,0.3930
p07.pddl,caldera-sat18-strips,False,0.7562
p08.pddl,caldera-sat18-strips,False,0.7942
p09.pddl,caldera-sat18-strips,False,0.9408
p10.pddl,caldera-sat18-strips,False,0.4436
p11.pddl,caldera-sat18-strips,False,0.6154
p12.pddl,caldera-sat18-strips,False,3.5784
p13.pddl,caldera-sat18-strips,False,0.7650
p14.pddl,caldera-sat18-strips,False,1.7785
p15.pddl,caldera-sat18-strips,False,1.4765
p16.pddl,caldera-sat18-strips,False,1.7501
p17.pddl,caldera-sat18-strips,False,0.9856
p18.pddl,caldera-sat18-strips,False,1.0265
p19.pddl,caldera-sat18-strips,False,2.3480
p20.pddl,caldera-sat18-strips,False,2.3704
p_28_2.pddl,parking-sat14-strips,False,300.1057
p_28_3.pddl,parking-sat14-strips,False,300.1027
p_30_1.pddl,parking-sat14-strips,False,300.1832
p_30_2.pddl,parking-sat14-strips,False,300.1691
p_30_3.pddl,parking-sat14-strips,False,300.1281
p_32_1.pddl,parking-sat14-strips,False,300.0945
p_32_2.pddl,parking-sat14-strips,False,300.1102
p_32_3.pddl,parking-sat14-strips,False,300.1825
p_34_1.pddl,parking-sat14-strips,False,300.1408
p_34_2.pddl,parking-sat14-strips,False,300.1510
p_34_3.pddl,parking-sat14-strips,False,300.1875
p_36_1.pddl,parking-sat14-strips,False,300.2261
p_36_2.pddl,parking-sat14-strips,False,300.1896
p_36_3.pddl,parking-sat14-strips,False,300.1998
p_38_1.pddl,parking-sat14-strips,False,300.2173
p_38_2.pddl,parking-sat14-strips,False,300.2204
p_38_3.pddl,parking-sat14-strips,False,300.2026
p_40_1.pddl,parking-sat14-strips,False,300.2173
p_40_2.pddl,parking-sat14-strips,False,300.2136
p_40_3.pddl,parking-sat14-strips,False,300.1771
p01.pddl,elevators-sat11-strips,True,0.7202
p02.pddl,elevators-sat11-strips,False,300.2010
p03.pddl,elevators-sat11-strips,False,300.1821
p04.pddl,elevators-sat11-strips,False,300.0888
p05.pddl,elevators-sat11-strips,False,300.0898
p06.pddl,elevators-sat11-strips,False,300.2451
p07.pddl,elevators-sat11-strips,False,300.1723
p08.pddl,elevators-sat11-strips,False,300.1717
p09.pddl,elevators-sat11-strips,False,300.2572
