name,domain,solved,time-seconds
p01.pddl,scanalyzer-sat11-strips,True,26.7773
p02.pddl,scanalyzer-sat11-strips,False,302.2775
p03.pddl,scanalyzer-sat11-strips,True,37.3123
p04.pddl,scanalyzer-sat11-strips,False,300.6963
p05.pddl,scanalyzer-sat11-strips,False,302.9637
p06.pddl,scanalyzer-sat11-strips,True,40.8035
p07.pddl,scanalyzer-sat11-strips,False,305.2674
p08.pddl,scanalyzer-sat11-strips,True,51.1414
p09.pddl,scanalyzer-sat11-strips,False,301.2750
p10.pddl,scanalyzer-sat11-strips,False,302.4116
p11.pddl,scanalyzer-sat11-strips,False,302.3909
p12.pddl,scanalyzer-sat11-strips,False,301.3462
p13.pddl,scanalyzer-sat11-strips,False,300.6847
p14.pddl,scanalyzer-sat11-strips,False,304.1071
p15.pddl,scanalyzer-sat11-strips,False,304.4242
p16.pddl,scanalyzer-sat11-strips,False,308.2429
p17.pddl,scanalyzer-sat11-strips,False,306.5277
p18.pddl,scanalyzer-sat11-strips,False,301.7628
p19.pddl,scanalyzer-sat11-strips,False,301.4262
p20.pddl,scanalyzer-sat11-strips,False,301.3339
p01.pddl,folding-sat23-strips,False,300.4227
p02.pddl,folding-sat23-strips,False,300.6905
p03.pddl,folding-sat23-strips,False,303.8376
p04.pddl,folding-sat23-strips,False,301.6845
p05.pddl,folding-sat23-strips,False,302.2932
p06.pddl,folding-sat23-strips,False,302.3997
p07.pddl,folding-sat23-strips,False,302.9369
p08.pddl,folding-sat23-strips,False,300.3870
p09.pddl,folding-sat23-strips,False,300.7891
p10.pddl,folding-sat23-strips,False,301.1526
p11.pddl,folding-sat23-strips,False,301.1262
p12.pddl,folding-sat23-strips,False,301.7166
p13.pddl,folding-sat23-strips,False,302.2801
p14.pddl,folding-sat23-strips,False,300.5777
p15.pddl,folding-sat23-strips,False,300.7815
p16.pddl,folding-sat23-strips,False,300.8751
p17.pddl,folding-sat23-strips,False,301.3290
p18.pddl,folding-sat23-strips,False,301.8265
p19.pddl,folding-sat23-strips,False,302.6979
p20.pddl,folding-sat23-strips,False,303.6396
